tweet_id,text,created_at,retweet_count,reply_count,like_count,quote_count,source,lang,author_id,author_name,author_username,author_verified,author_created_at,author_followers,author_following,author_tweet_count
71681549,CAA protests in India spark debate over citizenship.,2025-11-10 17:19:26.218022,2,1,7,0,Twitter for Android,en,100003,User100003,user_100003,False,2016-06-04 10:19:26.218022,779,2392,194077
25734209,Citizenship Amendment Act and NRC policy discussion.,2025-10-31 15:19:26.218022,4,0,8,2,Twitter Web App,en,100065,User100065,user_100065,False,2017-02-19 10:19:26.218022,40457,17,187613
79019569,Citizenship Amendment Act and NRC policy discussion.,2025-11-09 08:19:26.218022,0,0,3,1,Twitter for Android,en,100125,User100125,user_100125,False,2020-07-12 10:19:26.218022,28188,4135,15535
63237806,Why is NRC linked to CAA in discourse?,2025-11-13 04:19:26.218022,2,0,5,0,Twitter Web App,en,100060,User100060,user_100060,False,2018-03-11 10:19:26.218022,4565,955,171940
33335437,Debate on CAA continues across cities; protests and support.,2025-11-09 09:19:26.218022,2,0,5,1,Twitter for iPhone,en,100120,User100120,user_100120,False,2021-02-02 10:19:26.218022,39091,2994,19115
74413145,Citizenship Amendment Act and NRC policy discussion.,2025-10-31 12:19:26.218022,3,1,3,0,Twitter Web App,en,100055,User100055,user_100055,True,2016-08-25 10:19:26.218022,2567,99,133322
86301164,India politics and CAA: perspectives from different states.,2025-11-10 22:19:26.218022,4,1,4,1,Twitter for iPhone,en,100125,User100125,user_100125,False,2020-07-12 10:19:26.218022,28188,4135,15535
68534435,CAA protests in India spark debate over citizenship.,2025-10-30 15:19:26.218022,1,0,3,0,Twitter for iPhone,en,100120,User100120,user_100120,False,2021-02-02 10:19:26.218022,39091,2994,19115
94740096,Support for CAA grows amid confusion about NRC.,2025-11-13 20:19:26.218022,3,2,5,0,Twitter Web App,en,100005,User100005,user_100005,False,2019-05-20 10:19:26.218022,27490,475,156780
18112074,Debate on CAA continues across cities; protests and support.,2025-10-29 20:19:26.218022,3,1,3,0,Twitter Web App,en,100089,User100089,user_100089,False,2016-07-11 10:19:26.218022,13510,4071,29425
64256930,CAA/NRC policy clarification by ministers sparks reactions.,2025-10-31 08:19:26.218022,1,2,6,2,Twitter for Android,en,100142,User100142,user_100142,True,2023-07-01 10:19:26.218022,23803,4973,169014
59818662,Citizenship Amendment Act and NRC policy discussion.,2025-11-07 13:19:26.218022,2,1,7,0,Twitter Web App,en,100004,User100004,user_100004,False,2019-01-07 10:19:26.218022,5321,1185,184829
63509641,Citizenship Amendment Act and NRC policy discussion.,2025-11-01 04:19:26.218022,1,2,5,0,Twitter for Android,en,100133,User100133,user_100133,False,2016-06-08 10:19:26.218022,38423,3487,183858
17726890,Why is NRC linked to CAA in discourse?,2025-10-26 07:19:26.218022,1,1,5,1,Twitter for iPhone,en,100004,User100004,user_100004,False,2019-01-07 10:19:26.218022,5321,1185,184829
63689327,NRC and CAA explained; is it fair for all?,2025-11-13 20:19:26.218022,2,1,4,1,Twitter Web App,en,100026,User100026,user_100026,True,2024-04-21 10:19:26.218022,6920,4494,91032
72671672,NRC and CAA explained; is it fair for all?,2025-10-29 17:19:26.218022,3,0,4,0,Twitter Web App,en,100067,User100067,user_100067,False,2020-11-02 10:19:26.218022,33838,2328,3470
49785651,Debate on CAA continues across cities; protests and support.,2025-11-12 17:19:26.218022,3,2,7,1,Twitter for Android,en,100000,User100000,user_100000,False,2016-12-27 10:19:26.218022,15805,861,103744
